               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,save_best
85,0.022655,0.014002,0.0025638,0.93599,0.93178,0.95429,0.73064,0.028587,0.0054785,0.0027151,0.0036489,0.0036489,0.0036489,0.753005
86,0.02244,0.014101,0.0025372,0.93746,0.93537,0.95817,0.72752,0.029392,0.0054663,0.0023074,0.003565,0.003565,0.003565,0.750585
98,0.022395,0.013976,0.0030251,0.93961,0.92365,0.9533,0.72505,0.027746,0.0054814,0.0028063,0.0027035,0.0027035,0.0027035,0.747875
96,0.022445,0.014043,0.0028779,0.93999,0.91914,0.95444,0.72487,0.028274,0.0055104,0.0025696,0.0028266,0.0028266,0.0028266,0.747827
95,0.021571,0.013421,0.0021865,0.93431,0.92834,0.95325,0.72428,0.027715,0.0055827,0.0026067,0.0028914,0.0028914,0.0028914,0.747177
99,0.022664,0.01395,0.0030527,0.94,0.93509,0.95295,0.72364,0.028313,0.005513,0.0031243,0.0026453,0.0026453,0.0026453,0.746571
87,0.022763,0.01391,0.0025521,0.95315,0.91049,0.95119,0.72082,0.028824,0.0055545,0.0023615,0.0034827,0.0034827,0.0034827,0.743857
97,0.022928,0.01452,0.0029367,0.949,0.91764,0.95314,0.71929,0.028129,0.0054855,0.002881,0.0027639,0.0027639,0.0027639,0.742675
93,0.021747,0.013847,0.002358,0.94995,0.93143,0.95557,0.71848,0.028893,0.005632,0.0020862,0.0030274,0.0030274,0.0030274,0.742189
92,0.022272,0.013987,0.0025335,0.95775,0.9274,0.95781,0.71768,0.028211,0.0055668,0.0029271,0.0030985,0.0030985,0.0030985,0.741693
88,0.022289,0.013963,0.0024943,0.95388,0.91307,0.94956,0.71777,0.028696,0.0055941,0.0030622,0.0034022,0.0034022,0.0034022,0.740949
83,0.022408,0.013936,0.0029599,0.92987,0.93699,0.94622,0.71797,0.029657,0.0055827,0.0037378,0.0026227,0.0026227,0.0026227,0.740795
84,0.022854,0.014124,0.0029456,0.931,0.93667,0.9459,0.71775,0.028383,0.0055412,0.0032229,0.002557,0.002557,0.002557,0.740565
94,0.021583,0.013718,0.0022808,0.95235,0.91975,0.95191,0.71573,0.027823,0.0056188,0.0022431,0.0029584,0.0029584,0.0029584,0.739348
89,0.021948,0.013755,0.0024416,0.93115,0.92369,0.94922,0.71581,0.028628,0.0055245,0.0031713,0.0033235,0.0033235,0.0033235,0.739151
91,0.022142,0.013783,0.0024235,0.9418,0.91547,0.95075,0.71497,0.028154,0.0056057,0.0028916,0.0031716,0.0031716,0.0031716,0.738548
76,0.023779,0.014685,0.003496,0.93829,0.92023,0.94215,0.71501,0.027722,0.0055893,0.0049329,0.0031716,0.0031716,0.0031716,0.737724
90,0.023193,0.014105,0.002641,0.93661,0.92185,0.9478,0.71404,0.028089,0.0055237,0.0031509,0.0032466,0.0032466,0.0032466,0.737416
74,0.023789,0.014956,0.0036483,0.95531,0.92131,0.95333,0.71316,0.028677,0.0055931,0.0039927,0.0033548,0.0033548,0.0033548,0.737177
80,0.023347,0.014587,0.0035228,0.93902,0.92076,0.94903,0.7133,0.028906,0.0055767,0.0049415,0.0028394,0.0028394,0.0028394,0.736873
75,0.024102,0.014695,0.0041407,0.94788,0.92435,0.94333,0.7127,0.02887,0.0056019,0.0031182,0.0032618,0.0032618,0.0032618,0.735763
79,0.023394,0.014433,0.0033481,0.92636,0.91204,0.94571,0.71218,0.028836,0.0055187,0.0057007,0.0029179,0.0029179,0.0029179,0.735533
73,0.024201,0.014897,0.0038287,0.93904,0.91971,0.95122,0.70964,0.027572,0.0055923,0.003934,0.0034503,0.0034503,0.0034503,0.733798
81,0.023016,0.014423,0.0031773,0.93,0.93792,0.94775,0.70809,0.030105,0.0056226,0.0041939,0.0027639,0.0027639,0.0027639,0.732056
51,0.026471,0.015603,0.0054157,0.9525,0.93525,0.95545,0.70639,0.029491,0.0055282,0.0020584,0.0025359,0.0025359,0.0025359,0.731296
78,0.02429,0.014741,0.0037447,0.91717,0.92193,0.94707,0.70699,0.028788,0.0055755,0.0044046,0.0029996,0.0029996,0.0029996,0.730998
82,0.022606,0.014249,0.0032213,0.93132,0.91605,0.93806,0.70786,0.028556,0.0056274,0.0041451,0.0026917,0.0026917,0.0026917,0.73088
77,0.023472,0.014464,0.0035136,0.93413,0.91158,0.94082,0.70293,0.027921,0.0055153,0.0040868,0.0030841,0.0030841,0.0030841,0.726719
50,0.026217,0.016111,0.0060218,0.9552,0.9174,0.95096,0.6977,0.028645,0.0056573,0.0023853,0.0026453,0.0026453,0.0026453,0.723026
67,0.026006,0.01571,0.0044794,0.93617,0.91512,0.93722,0.69814,0.029441,0.0055384,0.0040939,0.004073,0.004073,0.004073,0.722048
52,0.025701,0.015972,0.0057623,0.95169,0.91169,0.95167,0.6965,0.028383,0.0055743,0.0019531,0.002436,0.002436,0.002436,0.722017
68,0.025406,0.01513,0.0044889,0.94103,0.91452,0.94115,0.69719,0.030858,0.0055895,0.0032429,0.0039638,0.0039638,0.0039638,0.721586
53,0.025894,0.015505,0.0053768,0.94952,0.92573,0.95318,0.69517,0.02955,0.0056132,0.0015542,0.0023458,0.0023458,0.0023458,0.720971
70,0.024997,0.015211,0.0045634,0.9298,0.90475,0.94133,0.69293,0.029913,0.0056291,0.0036084,0.0037517,0.0037517,0.0037517,0.71777
72,0.025564,0.015278,0.0044553,0.92271,0.90833,0.93487,0.69358,0.029303,0.0056941,0.0044534,0.0035484,0.0035484,0.0035484,0.717709
69,0.02554,0.01509,0.004373,0.93011,0.92074,0.94375,0.69127,0.031186,0.0056195,0.0023653,0.0038567,0.0038567,0.0038567,0.716518
49,0.026672,0.015934,0.0064163,0.95012,0.888,0.95121,0.68908,0.027819,0.005702,0.0022786,0.0027639,0.0027639,0.0027639,0.715293
65,0.026093,0.015353,0.0050703,0.92298,0.93154,0.94781,0.68892,0.03114,0.0056725,0.002487,0.0042969,0.0042969,0.0042969,0.714809
66,0.025625,0.015229,0.0044669,0.93255,0.91519,0.94174,0.68818,0.031255,0.0058069,0.0046628,0.004184,0.004184,0.004184,0.713536
54,0.025698,0.015524,0.0051711,0.93188,0.91174,0.93689,0.68712,0.029377,0.0056423,0.0033278,0.0022657,0.0022657,0.0022657,0.712097
62,0.027131,0.015961,0.0052625,0.93261,0.9155,0.94541,0.68043,0.030621,0.0057367,0.0037333,0.004645,0.004645,0.004645,0.706928
48,0.026887,0.016092,0.0065171,0.93654,0.89742,0.93285,0.68106,0.029917,0.005766,0.0030187,0.0028914,0.0028914,0.0028914,0.706239
71,0.025092,0.015198,0.004612,0.93284,0.90117,0.93318,0.68088,0.029889,0.0057559,0.0047769,0.0036489,0.0036489,0.0036489,0.70611
64,0.02629,0.015618,0.0050788,0.93766,0.90973,0.94042,0.67942,0.029918,0.0057395,0.0023437,0.0044114,0.0044114,0.0044114,0.70552
47,0.026836,0.016284,0.006122,0.93358,0.89729,0.94041,0.67598,0.029771,0.0057865,0.0023718,0.0030274,0.0030274,0.0030274,0.702423
56,0.027473,0.016199,0.0050984,0.94688,0.89366,0.94314,0.67422,0.030931,0.0057226,0.0052054,0.0053743,0.0053743,0.0053743,0.701112
63,0.026644,0.015808,0.005005,0.94273,0.90254,0.93958,0.67098,0.030773,0.0057623,0.0027663,0.0045275,0.0045275,0.0045275,0.69784
46,0.027044,0.015999,0.0065745,0.92724,0.92509,0.94366,0.66942,0.029039,0.0058234,0.0036064,0.0031716,0.0031716,0.0031716,0.696844
61,0.027179,0.015924,0.0055001,0.91049,0.90016,0.93466,0.66667,0.031055,0.0058321,0.0049733,0.0047639,0.0047639,0.0047639,0.693469
45,0.027487,0.016697,0.0063781,0.90517,0.91151,0.94347,0.66377,0.029822,0.0057178,0.0024914,0.0033235,0.0033235,0.0033235,0.69174
58,0.027571,0.016061,0.0054434,0.93475,0.87321,0.93959,0.6611,0.031521,0.005827,0.0049373,0.0051274,0.0051274,0.0051274,0.688949
44,0.027567,0.016575,0.0062332,0.92441,0.90089,0.94243,0.65714,0.030628,0.005772,0.0027885,0.0034827,0.0034827,0.0034827,0.685669
59,0.027486,0.015946,0.0056954,0.93319,0.8935,0.92942,0.65731,0.033019,0.0057402,0.0050615,0.0050052,0.0050052,0.0050052,0.684521
60,0.028072,0.016271,0.0059937,0.91878,0.89457,0.92868,0.6555,0.032341,0.0059002,0.0044435,0.004884,0.004884,0.004884,0.682818
43,0.027616,0.016612,0.006732,0.92932,0.88012,0.93431,0.65293,0.029262,0.0059402,0.003395,0.0036489,0.0036489,0.0036489,0.681068
57,0.027975,0.015973,0.0061388,0.90337,0.90735,0.93499,0.65094,0.033702,0.0058383,0.0048673,0.0052505,0.0052505,0.0052505,0.679345
55,0.02753,0.015947,0.0055213,0.91107,0.8994,0.92468,0.64845,0.032095,0.0060818,0.0069962,0.0054987,0.0054987,0.0054987,0.676073
42,0.028076,0.016772,0.0070521,0.92371,0.87832,0.93344,0.62951,0.032897,0.0060471,0.005492,0.0038214,0.0038214,0.0038214,0.659903
40,0.02927,0.016748,0.0077641,0.89346,0.87694,0.92081,0.62769,0.030844,0.0060297,0.0041564,0.004184,0.004184,0.004184,0.657002
39,0.028708,0.016602,0.0075984,0.89097,0.89522,0.93229,0.62079,0.030728,0.0062234,0.0034589,0.0043731,0.0043731,0.0043731,0.65194
38,0.029329,0.016844,0.0077731,0.8914,0.86326,0.91305,0.62258,0.031423,0.0061258,0.0046032,0.0045665,0.0045665,0.0045665,0.651627
41,0.029149,0.017191,0.0081964,0.89931,0.84823,0.91588,0.61441,0.031229,0.0062564,0.0045774,0.004,0.004,0.004,0.644557
36,0.029446,0.016943,0.0075602,0.8724,0.88043,0.9173,0.60831,0.031156,0.0062831,0.006498,0.0049647,0.0049647,0.0049647,0.639209
33,0.030123,0.016951,0.0074824,0.85222,0.8606,0.90558,0.60533,0.030577,0.0063841,0.0070582,0.0055819,0.0055819,0.0055819,0.635355
34,0.029696,0.01705,0.0075155,0.85967,0.84944,0.9018,0.60451,0.034785,0.0064378,0.0061844,0.0053743,0.0053743,0.0053743,0.634239
37,0.029081,0.016749,0.0072362,0.86247,0.84533,0.89165,0.59071,0.030377,0.0064878,0.0058272,0.0047639,0.0047639,0.0047639,0.620804
35,0.029548,0.01712,0.0076651,0.85082,0.84211,0.89508,0.58613,0.033968,0.0065466,0.009115,0.0051684,0.0051684,0.0051684,0.617025
32,0.030845,0.01774,0.007379,0.82346,0.87163,0.88521,0.5779,0.033277,0.006407,0.0076538,0.0057907,0.0057907,0.0057907,0.608631
31,0.030824,0.017486,0.0085765,0.86135,0.82524,0.87944,0.57554,0.034005,0.0065823,0.010775,0.006,0.006,0.006,0.60593
30,0.031326,0.017672,0.009334,0.86981,0.84845,0.90443,0.57145,0.035406,0.0067277,0.0073075,0.0062093,0.0062093,0.0062093,0.604748
27,0.03376,0.01858,0.010556,0.81524,0.83179,0.86247,0.53774,0.033467,0.0068685,0.007894,0.0068316,0.0068316,0.0068316,0.570213
28,0.032183,0.018034,0.008856,0.85814,0.77845,0.85497,0.52753,0.032402,0.0069264,0.0075272,0.0066257,0.0066257,0.0066257,0.560274
23,0.034187,0.018797,0.010683,0.86224,0.80526,0.88067,0.50871,0.038467,0.0070056,0.011751,0.0076269,0.0076269,0.0076269,0.545906
29,0.032206,0.017987,0.0091989,0.81395,0.73962,0.82722,0.50935,0.035209,0.0070877,0.011545,0.0064181,0.0064181,0.0064181,0.541137
26,0.033821,0.018564,0.011011,0.81302,0.78185,0.84103,0.49856,0.037098,0.0073075,0.017351,0.0070353,0.0070353,0.0070353,0.532807
3,0.046356,0.018988,0.014959,0.73872,0.82711,0.84265,0.48979,0.040346,0.0070347,0.010465,0.0036917,0.0036917,0.066592,0.525076
21,0.035092,0.019535,0.011631,0.77121,0.74773,0.79536,0.477,0.039585,0.0075157,0.013752,0.008,0.008,0.008,0.508836
22,0.03478,0.018761,0.011907,0.72868,0.78873,0.8035,0.46095,0.039304,0.0072582,0.015714,0.007816,0.007816,0.007816,0.495205
20,0.036215,0.019476,0.012703,0.7164,0.75301,0.77366,0.43956,0.03796,0.0072643,0.018734,0.0081786,0.0081786,0.0081786,0.47297
25,0.035691,0.019616,0.012754,0.70694,0.69456,0.72662,0.42626,0.036462,0.0072877,0.020254,0.0072361,0.0072361,0.0072361,0.456296
4,0.045527,0.01916,0.013591,0.75736,0.6061,0.71724,0.40533,0.04048,0.0078384,0.011238,0.0045994,0.0045994,0.058199,0.436521
15,0.039706,0.02045,0.015478,0.65355,0.66773,0.75303,0.38677,0.041947,0.0084094,0.020474,0.0089726,0.0089726,0.0089726,0.423396
17,0.037517,0.020249,0.015787,0.72359,0.66539,0.72747,0.38676,0.042127,0.0081375,0.015913,0.0086765,0.0086765,0.0086765,0.420831
19,0.03775,0.019837,0.013992,0.68751,0.62549,0.66639,0.35408,0.043243,0.0080131,0.025845,0.0083511,0.0083511,0.0083511,0.385311
5,0.043097,0.019344,0.01521,0.70168,0.62431,0.68218,0.34726,0.04189,0.0084345,0.014008,0.0054941,0.0054941,0.049794,0.380752
16,0.039255,0.020578,0.015765,0.64273,0.61532,0.64668,0.33543,0.042995,0.0085429,0.025412,0.0088284,0.0088284,0.0088284,0.366555
13,0.040769,0.021479,0.014946,0.74742,0.58385,0.67513,0.31175,0.042378,0.0084208,0.014318,0.0092361,0.0092361,0.0092361,0.348088
18,0.037083,0.019692,0.013804,0.62361,0.55683,0.6173,0.31549,0.041999,0.0084287,0.016016,0.0085173,0.0085173,0.0085173,0.345671
24,0.03384,0.018807,0.011622,0.62809,0.58066,0.59108,0.2941,0.044192,0.008853,0.024344,0.0074335,0.0074335,0.0074335,0.323798
1,0.05183,0.022893,0.029404,0.60378,0.52182,0.56345,0.2831,0.045846,0.0078008,0.023026,0.001849,0.001849,0.083349,0.311135
2,0.04897,0.020324,0.019135,0.54066,0.56888,0.54882,0.27914,0.047175,0.0080206,0.032116,0.0027739,0.0027739,0.074974,0.306108
6,0.043449,0.019885,0.013901,0.58676,0.53864,0.51955,0.2643,0.05161,0.0088718,0.04558,0.0063727,0.0063727,0.041373,0.289825
11,0.043532,0.021817,0.019416,0.63068,0.42872,0.47696,0.2228,0.044559,0.010788,0.02264,0.0094641,0.0094641,0.0094641,0.248216
7,0.042313,0.020291,0.01617,0.5342,0.41642,0.45225,0.2152,0.046299,0.0091091,0.030312,0.0072326,0.0072326,0.032933,0.238905
14,0.039498,0.02089,0.017783,0.60166,0.44848,0.4417,0.19864,0.047593,0.0093011,0.040287,0.0091086,0.0091086,0.0091086,0.222946
10,0.045021,0.022354,0.020393,0.43775,0.51516,0.43431,0.17796,0.050119,0.0094013,0.021769,0.0094641,0.0094641,0.0094641,0.203595
0,0.078152,0.029185,0.045694,0.30801,0.50667,0.32932,0.13912,0.05179,0.0098583,0.036344,0.00092,0.00092,0.09172,0.15814
9,0.045289,0.023256,0.022564,0.38606,0.34606,0.24198,0.1042,0.051679,0.011464,0.039931,0.008885,0.008885,0.015985,0.117978
12,0.041693,0.02113,0.016862,0.5292,0.34233,0.24905,0.097864,0.061695,0.010126,0.086434,0.0093547,0.0093547,0.0093547,0.1129826
8,0.043692,0.021103,0.017173,0.28501,0.057963,0.033789,0.0077172,0.0761,0.014193,0.076536,0.0080709,0.0080709,0.024471,0.01032438
